iter	RMSE
0	389.0076795
1	374.4725479
2	360.708562
3	347.1290405
4	334.7681233
5	322.9680531
6	311.9250576
7	301.7202701
8	291.7894384
9	282.0377079
10	272.9788327
11	264.6964428
12	256.9010883
13	249.5994518
14	242.5134892
15	235.9565917
16	229.8651039
17	223.5767341
18	218.1387255
19	212.6812763
20	207.5110598
21	202.7403222
22	198.0353316
23	193.5865144
24	189.5783288
25	185.5706056
26	181.6521745
27	178.1644767
28	174.8299211
29	171.7071864
30	168.5777223
31	165.5926866
32	162.6900027
33	160.0401997
34	157.4927406
35	155.1870307
36	152.7604922
37	150.494677
38	148.5019468
39	146.4864655
40	144.5357925
41	142.7517871
42	141.0901266
43	139.4400712
44	137.8572877
45	136.4244851
46	135.0019686
47	133.6598989
48	132.4641228
49	131.3775778
50	130.1578606
51	129.0188506
52	127.8897237
53	126.8662363
54	125.8629419
55	124.973861
56	124.0318444
57	123.1443716
58	122.299382
59	121.4980448
60	120.7788337
61	120.085262
62	119.3907142
63	118.7633643
64	118.1619758
65	117.5318462
66	116.9006949
67	116.3378354
68	115.7642879
69	115.2908387
70	114.8647989
71	114.3857066
72	113.9255847
73	113.5191326
74	113.1284849
75	112.7337348
76	112.3053596
77	111.9264848
78	111.5702875
79	111.2572934
80	110.9398172
81	110.6060188
82	110.2509373
83	109.9268649
84	109.6219641
85	109.3846317
86	109.0906187
87	108.8090873
88	108.519895
89	108.2698946
90	108.0570618
91	107.8378773
92	107.5869988
93	107.3415549
94	107.1410774
95	106.9488454
96	106.7314973
97	106.5403841
98	106.3569209
99	106.1912834
100	106.0191971
101	105.8525452
102	105.6151223
103	105.4538059
104	105.2697517
105	105.152273
106	105.0094307
107	104.8930429
108	104.7645909
109	104.6497161
110	104.5280555
111	104.4302166
112	104.3234025
113	104.2157291
114	104.1269725
115	104.0316577
116	103.833891
117	103.7283455
118	103.4794584
119	103.3801546
120	103.3029942
121	103.2224846
122	103.1344391
123	103.0643327
124	102.8836944
125	102.7790641
126	102.7007839
127	102.61761
128	102.5367966
129	102.4699007
130	102.3734136
131	102.3186868
132	102.2569424
133	102.1979621
134	102.1264693
135	102.0447991
136	101.9541113
137	101.8868675
138	101.8299718
139	101.7319451
140	101.6633401
141	101.5981446
142	101.5342873
143	101.4790742
144	101.4263181
145	101.3708189
146	101.2324227
147	101.1544564
148	101.0934239
149	100.9704445
150	100.9194703
151	100.8656723
152	100.8152072
153	100.7704825
154	100.7264368
155	100.6570592
156	100.602957
157	100.470766
158	100.4256861
159	100.3101698
160	100.2681537
161	100.2217512
162	100.1317514
163	100.0793331
164	100.0418029
165	99.9140484
166	99.71373446
167	99.65296187
168	99.56148114
169	99.48514111
170	99.45724805
171	99.40471423
172	99.3664796
173	99.31667449
174	99.27046034
175	99.19749473
176	99.15372397
177	99.10591787
178	99.07019882
179	99.02550647
180	98.98097252
181	98.94920563
182	98.91619863
183	98.80274617
184	98.70878334
185	98.66038333
186	98.63250042
187	98.60243006
188	98.57085099
189	98.50879454
190	98.47313529
191	98.43110472
192	98.39105962
193	98.30147365
194	98.26398066
195	98.2180454
196	98.18033994
197	98.12604076
